Experience,Company Name,ID,Query,Job Title,Description,IT Skills,Soft Skills,Education,Token Usage,Employee Name,Age,Gender,Country
21,HyperVision,4162,Deep Learning, Deep Learning Engineer,"Who we are: Our mission is to provide tools that enable advertisers to reach niche interest groups and personas that resonate with their business. We accomplish this by leveraging machine learning to infer user attributes such as demographics and interests. Advertisers can then use these attributes to specify the type of person their advertisement should target. What You Will Do: Apply the latest deep learning algorithms to user modeling, topic modeling, and engagement prediction problems. The problems include: regression, classification, learning to rank, and unsupervised embeddings. Who You Are: You’re a machine learning engineer with an interest in deep learning. Requirements: BS, MS, or PhD in computer science, data mining, machine learning, information retrieval, recommendation systems, natural language processing, statistics, math, engineering, operations research, or other quantitative discipline; or equivalent work experience 4+ years industry experience Skilled in using various machine learning algorithms for classification and regression Fluent in one or more object oriented languages like Java, Scala, C, C++ Experience with Spark, Hadoop, Pig or other MapReduce-based architectures Knowledgeable of core CS concepts such as: common data structures and algorithms. Comfortable conducting design and code reviews. Experienced in operating Linux-based systems. Passionate about working with large unstructured and structured data sets We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status. San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.","Deep learning algorithms, User modeling, Topic modeling, Engagement prediction, Regression, Classification, Learning to rank, Unsupervised embeddings, Machine learning algorithms, Object-oriented languages (Java, Scala, C, C++), Spark, Hadoop, Pig, MapReduce-based architectures, Common data structures and algorithms, Linux-based systems","Design and code reviews, Working with large unstructured and structured datasets, Inclusive and diverse mindset, Equal opportunity mindset",,510,Karen Steele,43,Female,Brazil
31,DataSync Technologies,5349,Data Quality Manager,Clinical Data Manager,"The Clinical Data Manager is a member of the project team and is responsible for data management activities for multiple aspects of study start-up, operations, data auditing and closeout to ensure a high quality database Conduct clinical data review and/or listing review of data entered by sites and determine compliance and plausibility as outlined within the project specific data review guidelines and generate data queries as needed; determine course of action to be taken to resolve data discrepancies and inconsistencies, such as additional site query, data acceptance or escalation. Conduct clinical data review and/or listing review of data entered by sites and determine compliance and plausibility as outlined within the project specific data review guidelines and generate data queries as needed; determine course of action to be taken to resolve data discrepancies and inconsistencies, such as additional site query, data acceptance or escalation. Create and maintain the project Data Management Plan, Edit Specifications, and other process documents (i.e. Data Entry Guidelines or CRF Completion Guidelines), as required, as well as by working in collaboration with the Lead Data Manager assisting in day to day project related activities. Collaborate with the CRF designer, Programmer and/or Lead Data Manager to ensure the CRF is designed appropriately; the development of the database meets study needs as well as confirming the listing requirements are completed and validated according to outlined specifications. O versee the development of test data as well as participate in user acceptance testing. Prepare data analysis listings and activity, performance, or progress reports. Prepare appropriate formatting to data sets as requested. Design and validate clinical databases including designing or testing logic checks. Prepare data analysis listings and activity, performance, or progress reports. Prepare appropriate formatting to datasets as requested. Design and validate clinical databases including designing or testing logic checks. Write work instruction manuals, data capture guidelines, or standard operating procedures. Track the flow of work forms including in-house data flow or electronic forms transfer. Develop technical specifications for data management programming and communicate needs to information technology staff. Formal Education and/or Training: BA/BS degree in biological sciences or related disciplines preferred Minimum of 2-3 years Data Management experience, or equivalent combination of education and experience CRO, Pharma, Site Coordinator, CRA preferred Therapeutic indications preferred Oncology, CNS, Cardiovascular but not required. Medidata RAVE or other EDC Platform experience preferred","Data management, Clinical data review, Data auditing, Database design, Data analysis, Data validation, Test data development, User acceptance testing, Logic checks design","Communication, Collaboration, Problem-solving, Attention to detail, Organization, Report preparation, Work instruction writing, Process documentation","Education-related:, BA/BS degree in biological sciences or related disciplines",662,Tammy Jefferson,53,Male,Australia
3,BigData Labs,4038,Deep Learning,"Sales Consultant, Home Theater, Appliances, Gaming, and Entertainment","What does a Best Buy Sales Consultant in Home Theater, Appliances, Gaming, and Entertainment do? At Best Buy our mission is to leverage the unique talents and passions of our employees to inspire, delight, and enrich the lives our customers through technology and all its possibilities. If you have a passion and curiosity for what is possible and enjoy people, we invite you to join us on this mission. Best Buy Sales Consultants excel at selling products and services, working closely with other members of the sales team. They accumulate the appropriate knowledge and expertise through continuous learning and self development. Then, armed with the right tools and knowledge, they create ease and add value to the Best Buy shopping experience, ensuring customers’ end-to-end needs are met. As a trusted advisor and partner, Best Buy Sales Consultants deliver unique customer value by developing strong relationships with customers, bringing them a little closer to family and friends by helping them close the gaps with technology. Would you like to dream up a theatrical experience for others to enjoy? Would you like to help make someone’s life easier with new time-saving appliances? Make those dreams a reality as a Sales Consultant in our Home Business Group. 80% of your time you will: Engage customers using selling skills to build complex, connected solutions in a fast-paced, dynamic environment where customers feel supported and leave delighted. Inspire customers by showing them what’s possible with technology. Accumulate and apply the appropriate knowledge and expertise through continuous learning and self-development, enabling you to provide an excellent customer shopping experience. 20% of your time you will: Use innovative training tools to stay current, confident and complete, driving profitable growth and achieving individual and department goals. Maintain your department’s merchandising and readiness to serve customers. Back up the sales team for phone and store pickup. Perform other duties as assigned. What are the Professional Requirements of a Best Buy Sales Consultant? Basic Qualifications Ability to work successfully as part of a team Ability to work a flexible schedule inclusive of holidays, nights and weekends Preferred Qualifications 3 months experience working in customer service, sales or related fields What are my rewards and benefits? Discover your career here! At Best Buy we offer much more than a paycheck. Surrounded by the latest and greatest technology, a team of amazing coworkers and a work environment where anything is possible, you’ll find it easy to be your best when you work with us. We provide an exciting work environment with a community of techno learners where you can be yourself while investing in your career. Empowered with knowledge you will discover endless opportunities to grow. From deep employee discounts to tuition reimbursement, to health, wealth and wellness benefits, to learning and development programs, we believe the success of our company depends on the passion of employees for learning, technology and people.","Selling skills, Customer service, Merchandising","Teamwork, Flexibility, Communication, Relationship building","Both Education and Experience:, Continuous learning, Self-development",653,Daniel Hall,25,Female,Brazil
2,SkyCompute,2603,Business Analyst,"Business Services Analyst, HRPP","The HRPP Business Analyst reports dually to the Director of Human Research Protection Program (HRPP) and the Assistant Director for Executive Vice Chancellor & Provost (EVC&P) Business Services, providing on-site support to the work of the HRPP organization and as a part of the EVC&P Business Services team. As a key member of the HRRP organization and EVC&P Business Services team, this position requires significant financial administration experience and independent judgment and plays a critical role in maintaining the financial integrity of the department by providing budget development, cost recovery support activities, ongoing financial monitoring of the units’ resources, resource plan variance monitoring, expense reporting and projections for core operating funding as well as external affiliates invoicing & payments for services provided to Gladstone, the Veterans Affairs (VA), and San Francisco Public Health Department as well as industry and international partners. HUMAN RESEARCH PROTECTION PROGRAM / EXECUTIVE VICE CHANCELLOR & PROVOST In partnership with the research community, the UCSF Human Research Protection Program (HRPP) is responsible for ensuring the ethical and equitable treatment of all human research subjects in studies being conducted at UCSF and its affiliates and partners and/or being conducted by UCSF faculty, regardless of site of activity. The HRPP is also responsible for ensuring compliance with federal regulations, state laws and institutional polices, as well as national standards. The mission of the HRPP is to promote the welfare and rights of human research participants; to facilitate excellence in human research; and to provide timely and high quality education, review and monitoring for human research projects. The Executive Vice Chancellor & Provost’s Business Services organization provides centralized financial management, strategic budget development and oversight and administrative services to the direct offices of the Chancellor (CO), Vice Chancellor for Diversity and Outreach (VCD&O) and Executive Vice Chancellor and Provost’s (EVC&P) and their subunits, departments and programs. These services include strategic & detailed budget development, financial reporting, financial transactional processing, purchasing, and reconciliations as well as access administration. HRPP, as a unit of the Associate Vice Chancellor Ethics and Compliance reporting to the Chancellor and Executive Vice Chancellor & Provost, is provided services by the EVC&P Business Services unit directly by this position. ABOUT UCSF The University of California, San Francisco (UCSF) is a leading university dedicated to promoting health worldwide through advanced biomedical research, graduate-level education in the life sciences and health professions, and excellence in patient care. It is the only campus in the 10-campus UC system dedicated exclusively to the health sciences.","Financial administration, Budget development, Cost recovery support, Financial monitoring, Expense reporting, Variance monitoring, Invoicing & payments, Compliance with federal regulations, Strategic budget development, Financial reporting, Purchasing, Reconciliations","Independent judgment, Critical thinking, Communication, Collaboration, Attention to detail, Problem-solving, Time management, Education, Research ethics","Skills Related to Education:, Research ethics",732,Amber Hernandez,24,Female,India
15,AI Spectrum,3371,Machine Learning,Quantitative Analyst,"Position Description: The Analytics Research and Development team within the company's Global Data, Insight and Analytics (GDIA) organization is looking for a highly skilled quantitative analyst / data scientist to assist in all levels of model development, evaluation, and deployment. The analyst will have significant autonomy in conducting research and selecting modeling methodologies. You will have the opportunity to work with some of the brightest global subject matter experts that are transforming the automobile industry. Analytics R&D is a cross-functional research team within GDIA that focuses on applying advanced quantitative methods to solve a wide variety of challenging business problems. Past and current projects include: quantitative marketing analytics, application of machine learning techniques to economic, financial, and marketing related business problems, social network analysis, quantitative financial risk management and portfolio optimization, and economic scenario simulation and analysis. Responsibilities: Research and apply the latest quantitative techniques toward the solution of important business problems Review academic / industry literature, develop and test models, and gain insights from research findings Translate ideas and theory into solutions the business can use to grow Identify new and novel data sources and explore their potential use in developing actionable business insights Explore emerging technologies and analytic solutions for use in quantitative model development Help maintain and enhance existing models Requirements: Skills Required: -Research mindset - ability to structure a project from idea to experimentation to prototype to implementation Ability and desire to quickly adapt to changing business objectives; ability and desire to quickly learn and apply new quantitative techniques and analytics technologies Good oral and written communication skills Skills Preferred: Advanced econometrics / statistics (Bayesian methods) / time series analysis / forecasting / causal inference Machine learning / deep learning, recommender systems, natural language processing, network analysis Optimization techniques, e.g. linear / nonlinear programming, dynamic / stochastic programming, optimal control, etc. Quantitative finance, Monte Carlo simulation, risk quantification, portfolio optimization, economic scenario generation, etc. Theoretical / empirical techniques commonly used in industrial organization, e.g. game theory, mechanism design, etc. Demonstrated skills in manipulation and data mining / pattern recognition of large structured and unstructured data sets Experience Required: 3+ years of experience involving complex quantitative modeling and analysis in a business or academic setting, as indicated by relevant work experience and / or academic research and publications 2+ years of experience in at least two of the following languages: R, Python, MATLAB, Java, C/C++/C, Scala, Julia, SAS Experience Preferred: Experience with big data technologies such as Spark, Hadoop, Map/Reduce, Hive, etc. Experience with parallel / grid / GPU computing Education Required: Master's degree in a quantitative field such as Statistics, Economics, Mathematics, Physics, Operations Research, Computer Science, Cognitive Neuroscience, Quantitative Social Science, Quantitative Finance, etc. Education Preferred: Ph.D. in a quantitative field such as Statistics, Economics, Mathematics, Physics, Operations Research, Computer Science, Cognitive Neuroscience, Quantitative Social Science, Quantitative Finance, etc.","Research mindset, Advanced econometrics, Statistics, Time series analysis, Forecasting, Machine learning, Deep learning, Recommender systems, Natural language processing, Network analysis, Optimization techniques, Quantitative finance, Monte Carlo simulation, Risk quantification, Portfolio optimization, Economic scenario generation, Game theory, Mechanism design, Data mining, Pattern recognition","Ability to quickly adapt to changing business objectives, Good oral and written communication skills","Education Related:, Master's degree in quantitative fields, Ph.D. in quantitative fields",810,Nathan Obrien,37,Female,Brazil
26,NeuroMatrix,5285,Data Quality Manager,General Supervisor Quality (GSQ),"Collaborates with Assistant Manager of Quality/Center Manager to ensure compliance with all relevant regulatory standards to ensure center is inspection ready at all times. May assume responsibility as AMQ when quality business needs are identified. This position should not be involved in manufacturing activities and must be independent from production with no additional operational responsibilities. 1 Act as lead supervisor in ensuring the day-to-day activities of quality operations are compliant with Standard Operating Procedures (SOPs) and applicable federal and local regulations as well as HR policies. Advise management of ER issues or escalated quality issues. 2 Maintain clean efficient work environment, and ensure sufficient operating supplies and forms are available. Comply with all Health Safety and Environmental (HSE) and Occupational Safety and Health Administration (OSHA) policies and procedures. May conduct routine internal procedures and documentation audits. Promote safety in all actions. 3 Develop quality knowledge and assist with identifying problem areas and implement corrective action as needed with management oversight. Ensure excellent customer service by all staff. 4 Partner with quality management in collecting and analyzing data to support continuous improvement resulting in improved customer/donor service, product yields and financial results while maintaining compliance and quality. Assist management in the change management process and raises ideas for consideration. 5 Coordinate and management assist with site supplier, customer and regulatory audits. Participate in the review of findings, deviation management (RCA) and written responses, as needed, to ensure a successful closure of audits. Utilize quality tools and applications to facilitate understanding of issues and documentation. 6 Partner with quality and center management so that the center is “inspection ready” at all times and customer requirements meet the safety of donors and employees including compliance with OSHA regulations. Assist with regular reports to center, area and corporate quality management regarding systems status. 7 Collaborate with management to understand and determine quality financial responsibility including budgets, forecasts and financial impact to business including quality goals. 8 Participate with management in the recruitment and selection of quality staff and in conducting performance appraisals and performance feedback. 9 Assist management with audits by working with Assistant Manager Quality Assurance and quality team to develop effective corrective action plans to address any areas of deficiency. 10 Occasionally act as back-up manager of quality in absence of Assistant Manager Quality Assurance. 11 Must successfully complete the leadership development program and be able to relocate within 12 months. 12 Maintain confidentiality of all personnel, donor and center information. 13 May be cross-trained in other areas to meet the needs of the business. 14 Bilingual skills may be required, at the discretion of the organization, to meet the needs of the business. 15 Responsible for notification to the ADOQ for any event that negatively impacts the safety, quality, purity or potency of the product that results in pausing or disruption of business. If necessary, notification must be elevated to any of the following: Regional Director, Associate Director of QA, Divisional Director or Director of Quality Systems and Assurance. 16 Perform other duties, as assigned, to support business needs. JOB SPECIFICATIONS Provide minimum hiring requirements, specialized knowledge, and other considerations required Education - Bachelor's degree preferred Equivalent combination of education and professional work experience required Experience  BS/AS degree OR  Minimum 1 year supervisory, leadership experience responsible for overseeing the activities of others OR  1 year Quality/L&D experience required Additional Comments  Maintain company Technical Training certification  Knowledge of ever-changing and complex government and industry regulations, and ability to monitor compliance with these regulations  Proficient in English Working Conditions(physical &mental requirements)  Shares information with internal contacts with common desire to reach a solution  Ability to make decisions, which have moderate impact on immediate work unit.  Must be able to see and speak with customers and observe equipment operation.  Occasionally required to work with the public when they are dissatisfied  Reach, bend, kneel and have high level of manual dexterity  Occasionally be required to lift and carry up to 25 pounds  Fast paced environment with frequent interruptions  Frequently exposed to hazardous chemicals, extreme temperatures and to blood borne pathogens.  Required to wear Personal Protective Equipment while performing specific tasks or in certain areas  Exposure to human source products and various chemicals including isopropyl, ethyl alcohol, carbon dioxide, iodine, bleach, germicide solution, etc.  Frequently required to make and accept modifications to working processes and procedures as directed by SOP  Overnight travel required up to 10% of the time Note: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, disability, veteran status, national origin or other legally protected classifications. Worker Type: Employee Worker Sub Type: Regular","Compliance with Regulatory Standards, Standard Operating Procedures (SOPs), Quality Audits, Quality Management Systems, Root Cause Analysis (RCA), Financial Analysis, Quality Tools and Applications","Communication, Leadership, Problem-Solving, Customer Service, Team Collaboration, Decision Making, Confidentiality, Adaptability",,1113,Carmen Harrison,48,Female,UK
10,StrataAI,5026,Data Visualization Expert,"Analytic Consultant 3 - Wholesale Customer Excellence Business Intelligence
Reporting","Job Description At Wells Fargo, we want to satisfy our customers’ financial needs and help them succeed financially. We’re looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where you’ll feel valued and inspired to contribute your unique skills and experience. Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you. Wholesale Banking provides financial solutions to businesses across the United States and globally. Our nine major business lines include Business Banking, Middle Market Banking, Government and Institutional Banking, Corporate Banking, Commercial Real Estate, Financial Institutions Group, Wells Fargo Commercial Capital, Wells Fargo Securities, and the Investment Portfolio. We also have groups in credit risk, group risk, finance, marketing, human relations, and the Wholesale Chief Operating Office that support our businesses. The WRS&I Insights and Reporting team provides BI reporting and analytic support across the various Wholesale LOBs. The team functions as a key central analytic and reporting resource for relationship and sales growth, and provides insight into Wholesale-wide metrics and reporting needs, looking for innovative analytic and BI solutions to support business growth. This team conducts a variety of analyses and reporting such as segmentation, product depth, opportunity identification and sizing, spatial analyses, and predictive and expert modeling. Analyses and reports support strategic growth, marketing, prospecting, attrition, and any other areas where businesses may need analytic/reporting support. Additionally this team supports senior leader presentations and ongoing reporting needs for Wholesale and its lines of business. This BI Analytic Consultant position is dedicated to supporting the Wholesale Customer Excellence team, part of the Wholesale COO, specifically around complaints and voice of the customer workstream. This individual will work in partnership with the Wholesale Customer Excellence stakeholders and multiple Wholesale lines of business to provide BI reporting for Wholesale LOB and Wholesale-wide efforts to understand customer complaints. This role will also partner with other analysts across the Enterprise to continue to drive consistency in analytic and reporting structures, as well as explore new innovative thinking/ideas to be leveraged by the team. As such, the successful candidate will have strong relationship building and communication skills, with the ability to effectively collaborate on projects. They will have an analytic curiosity, a strong desire to dig deeper, and the ability to solve complex problems quickly. Specifically, this individual will: Work with the Wholesale Customer Excellence stakeholders and LOBs to assist in identifying reporting needs, defining business requirements, identifying potential data sources, designing reports to translate business needs into actionable insights. Additionally, partner with internal technology group(s) to build/enhance databases as needed Influence the data platform that will be necessary to support customer complaints reporting Influence and identify long-term metrics and data needs that will enable an enterprise-wide customer excellence practice Assist in aggregating findings across all LOB’s and deliver a Wholesale-wide view in standardized reporting for customer complaints Assist in defining customer excellence management metrics. Assist in identifying key insights from data to inform Customer Excellence partners and stakeholders Assist in incorporating new and leading reporting capabilities to generate greater insights from data through BI reporting Provide consultative support on measurement planning for surveys, customer advisory boards, etc on the front end, analysis and outcome measurement on the back end Provide actionable insights and make recommendations to the line of business based on thought-provoking and sound analytics, both proactively and in response to business partners’ requests Identify and bring visibility to cross-LOB analytic opportunities regarding customer excellence. Apply knowledge of business, customers, and/or products/services/portfolios to synthesize data to 'form a story' and align information to contrast/compare to industry perspective The preferred location for this role is Charlotte, NC, however Minneapolis, MN and Des Moines, IA will also be considered Team members support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit’s risk appetite and all risk and compliance program requirements. Required Qualifications 5+ years of reporting experience, analytics experience, or a combination of both; or a BS/BA degree or higher in a quantitative field such as applied math, statistics, engineering, physics, accounting, finance, economics, econometrics, computer sciences, or business/social and behavioral sciences with a quantitative emphasis and 3+ years of reporting experience, analytics experience, or a combination of both Desired Qualifications Extensive knowledge and understanding of research and analysis Strong analytical skills with high attention to detail and accuracy Excellent verbal, written, and interpersonal communication skills Other Desired Qualifications Hands on experience with Tableau and other visualization and BI tools, with a keen ability to tell a visual data story. Oracle BI is strongly preferred. Experience with MS SQL and Teradata Creativity to ideate new ways to represent data in graphs/tables/pictures to deliver the best insights Analytical and detail oriented with the ability to prioritize, execute and deliver projects on time Strong desire and ability to creatively solve problems and strong prioritization skills Ability to identify in efficiencies and opportunities to improve the process Diversity champion enabling team collaboration. Leads and influences diverse views to foster problem solving, and delivery of extraordinary work that promotes team success Disclaimer All offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act. Relevant military experience is considered for veterans and transitioning service men and women. Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.","Business Intelligence Reporting, Analytics, Business Requirements Gathering, Data Analysis, Database Management, Survey Measurement Planning","Relationship Building, Communication, Collaboration, Analytic Curiosity, Problem Solving, Creativity, Prioritization, Diversity Championing, Influencing, Critical Thinking",,1346,Jason Macias,32,Female,UK
17,DeepCompute,6584,IT Consultant,Color Consultant,"Job ID: 148217 Store Name/Number: NY-34th Street (0310) Address: 130 West 34th Street, New York, NY 10001, United States (US) Hourly/Salaried: Hourly (Non-Exempt) Full Time/Part Time: Part Time Position Type: Regular Sephora Stores It’s all about our clients. That’s where you come in, to guide her on her beauty journey. It takes energy and confidence and teamwork. It takes authentic passion…not just about product, but about making a client’s day through teaching, inspiring, and playing—together. It takes skill, which Sephora goes above and beyond to instill in our associates through unparalleled training. You bring the passion, we’ll teach you everything you need to know. Your role at Sephora: As a Color Consultant, you are an expert in all things skin! You will greet and provide friendly, knowledgeable service to every client who enters the skincare zone of the store. In addition, you will: Listen to clients to determine their skincare needs and suggest products that meet those needs based on your expertise, Sephora product training, and available in-store technology Celebrate beauty with our clients and share product knowledge as appropriate Participate in operations activities such as: inventory control, loss prevention programs to reduce shortage, compliance with sampling policies and procedures, and maintaining store cleanliness standards Assist in other areas of the store if requested/necessary, such as the cashwrap and the beauty studio Ensure continued product training plans are met so you remain an expert in beauty trends, application, and special events within the store Provide client touch-ups, skin consultations, and makeovers as required Demonstrate our Sephora values of Passion for Client Service, Innovation, Expertise, Work-Life Balance, Respect for All, Teamwork, & Initiative We think you’d be a great for this role if you have: 1-3 years’ experience in the retail or service industry Flexible availability to work during “peak” retail hours such as nights, weekends, and holidays (required) Positive, friendly attitude with excellent client service and communication skills A passion for skincare products and sharing your expertise with others You’ll love working here because: The people. You will be surrounded by some of the most talented, supportive, smart, and kind leaders and teams – people you can be proud to work with The product. Employees enjoy a product discount and receive free product, often multiple times a month. (Think your friends and family love you now? Just wait until you work at Sephora!) The education. Sephora heavily invests in training for our store associates – not just product knowledge but building a personalized career plan with you so you can achieve your professional goals The perks. Sephora offers medical benefits, competitive 401k, gift matching, and a 'perks' program that includes various discounts at participating companies (hotels, rental cars, telecommunication, gyms, etc) The LVMH family. Sephora’s parent company, LVMH, is one of the largest luxury groups in the world, providing support to over 70 prestige brands such as Louis Vuitton, Celine, Moet Chandon, Marc Jacobs, Dior, and so many more Our legal team wants you to know what’s required: Ability to lift and carry up to 50 pounds and bend/stretch to stock shelves Handle and apply cosmetics products to clients, including fragrance Adherence to Sephora’s dress code and other policies in the Sephora Employee Handbook Nearest Major Market: Manhattan Nearest Secondary Market: New York City Job Segment: Telecom, Telecommunications, Technology","Knowledge of skincare products, Client service, Inventory control, Loss prevention, Beauty trends, Product knowledge","Communication skills, Flexibility, Positive attitude, Teamwork, Client touch-ups, Skincare expertise","Skills Related to Education:, None",883,Derrick Taylor,39,Male,USA
32,SkyCompute,4688,Business Intelligence Analyst," Sr. Analyst, Business Analytics","Job Description: Develop/Maintain/Enhance revenue models to recognize and forecast Revenue (under ASC 606)based on Near-term and Lifetime Values (“NTV” and “LTV”) of acquired and potential customers. Update monthly forecasts and assist in the preparation of variance explanations and partner with Product General Managers to lead monthly variance review discussions. Support long range strategic and financial planning process, including development of the yearly financial plan. Design and develop reports/dashboards using Data Visualization tools (Tableau), conduct trend analysis and present the recommendations to business partners. Conduct quantitative and qualitative analytical work to analyze trends, unlock insights and drive sound decision making on key issues through clear, concise recommendations. Support CFO, investor relations and other business leaders with important ad-hoc requests. Assist on acquisition/investment/partnership opportunities as part of broader corporate strategy development and execution. Drive continual process improvement leveraging best practices, standardization, and automation to scale the business. Required Competencies: Experience in building and understanding detailed and complex financial models, exceptional analytical and problem solving skills with the ability to deal with complex concepts and details. Experience communicating complex and actionable concepts at a senior executive level. Collaborative team player with excellent interpersonal skills. Ability to develop critical relationships with diverse groups of internal clients and key stakeholders in the organization. Ability to work independently, manage multiple dependencies and prioritize projects with minimal supervision and meet deadlines. Highly proficient in Microsoft Excel with experience understanding and writing complex formulas. Experience with SQL, business intelligence / data visualization tools (Tableau) preferred. Desired Qualifications: Bachelor’s degree in Finance, Accounting, Economics or another related field. MBA or Masters in a quantitative field a plus. 5+ years of direct, relevant experience in a business or financial analyst role. Experience with a public company a plus.","Revenue modeling, Financial forecasting, ASC 606, Near-term and Lifetime Value (NTV and LTV), Variance analysis, Strategic planning, Data visualization tools (Tableau), Trend analysis, Quantitative and qualitative analysis, Process improvement, Microsoft Excel proficiency, SQL, Business intelligence tools","Analytical skills, Problem-solving, Effective communication, Interpersonal skills, Relationship building, Collaboration, Independence, Time management, Prioritization",,525,Dr. Andrea Schneider,54,Female,Japan
29,CyberGrid,9939,Network Architect,Business & Industrial Network Engineer,"Saint-Gobain, one of the world’s largest building materials companies and manufacturer of innovative material solutions, helps create great living spaces by combining comfort and sustainability. For more than three-and-a-half centuries, Saint-Gobain has been enhancing the wellbeing of people everywhere, whether it’s by addressing climate change, delivering true sustainable development, advancing the information revolution, participating in medical breakthroughs or playing a vital role in space exploration. Focusing on the intersection of people, innovation and purpose, Saint-Gobain helps to address the needs of today and the challenges of tomorrow – offering employees the opportunity to invent themselves and reshape the world. We are looking for a Business and Industrial Network Engineer to join the team in our CertainTeed plant in Shakopee, MN. This role will provide efficient Business network and industrial network support for the plant. This position entails the management, daily troubleshooting support, design and solution implementation of all business and industrial network components at the plant location including data rooms, servers, PC’s, switches, network, HMI and numerous PLC’s to ensure high availability and maximum performance while adhering to Saint- Gobain’s information technology standards, policies, techniques and security guidelines. CertainTeed is driving towards Industry 4.0 to connect manufacturing automation systems to data analytics tools on the business side to enable better decision-making based on real-time manufacturing data. The incumbent will play an integral role in working closely with Business Infrastructure Managers (BIMs) from SGTS and business management to understand needs and priorities and implement solutions that meet current and future requirements. Responsibilities include… Design or manage the design of network architectures adapted to the needs of the businesses and the data room in collaboration with the architects Design, implement and maintain industrial network infrastructure according to industry standards and Saint-Gobain Technology Services policies, procedures and security mandates Ensure the design and implementation of the technical solutions in compliance with “quality of service” (QoS) imperatives Ordering and configuring new infrastructure equipment, along with keeping existing infrastructure equipment up to date within Saint-Gobain Technology Services (SGTS) guidelines. Measure performance of network and server systems in terms of load and effectiveness for users and present recommendations for improvement. Assist with large IT projects, both local and remote as directed by Management, as well at management of smaller local projects. Develop and maintain documentation of network architecture and technical infrastructure at the plant. Work under the guidance and direction of the Business Infrastructure Manager to implement Saint-Gobain security policies and standards to all industrial network components. Work on business and cross business Industrial Network teams to share, collaborate and review Industrial Network best practices, implementations and project. If necessary, liaise with third-party support and PC equipment vendors. Manage, maintain, and support all industrial network server hardware, virtual machines and installed software. Analyze existing network infrastructure, identify weaknesses, vulnerabilities and IT policy compliance issues. Suggest, develop, design and implement solutions with a focus on automation reliability. Prepare and submit capital expenditure requests for major improvement projects. Bachelors degree required. Engineering or technical discipline preferred. 3+ years of experience with automated systems including programmable logic controllers (PLCs) and human machine interfaces (HMI). Thorough knowledge and experience of specifying, designing, implementing and maintaining equipment for Business and industrial networking, servers, firewalls, switches, PC’s. Working knowledge of current protocols and standards, including TCP/IP, IEE802.11 B,G&N (Wireless) Solid working knowledge of networking systems, plant automation systems, mechanical equipment and systems operations. Strong project management skills with excellent written and verbal skills Demonstrated experience in the following: VMware products and solutions, managing SQL Servers Preferred: Experience with Wonderware products or equivalent platforms preferred. Application support experience with MS Office. Knowledge of applicable data privacy practices and laws. Able to conduct research into networking issues and products as required. Saint-Gobain provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. Saint-Gobain is an equal opportunity employer of individuals with disabilities and supports the hiring of veterans.","Network architecture design, Industrial network infrastructure maintenance, Network performance measurement, Project management, Documentation management, IT infrastructure analysis, Automation system experience, Business and industrial networking equipment knowledge, Networking protocols and standards knowledge, VMware products management, SQL Server management","Strong project management skills, Excellent written and verbal communication, Ability to conduct research, Ability to collaborate in teams","Education-Related Skills:, Engineering or technical discipline knowledge",1076,Natalie Schmidt,51,Male,USA
